,Cluster_1,Cluster_2,Cluster_3
0,0.21554654278906782,0.15673906305022636,1.0
1,0.05426716141001857,0.07689962774968652,1.0
2,0.399096865666633,0.020968028782104207,0.13043478260869562
3,0.8161976911976917,0.10888210872197196,0.13043478260869562
4,0.871753246753247,0.18395378412259475,0.0434782608695652
5,0.17524688137795963,0.93426724137931,0.0434782608695652
6,0.9573056142823582,1.0,0.1739130434782608
7,0.18228799624148473,0.9598214285714287,0.1739130434782608
8,0.3303676297862346,0.21263185067917495,0.0434782608695652
9,0.5763056925847625,0.027719770124955866,0.0434782608695652
10,0.3253171247357295,0.019197042852228598,0.0
11,0.3183726802912851,0.009583746072506328,0.0
12,0.3253171247357295,0.04813380293123002,0.26086956521739124
13,0.257856807275412,0.07594095777224168,0.26086956521739124
14,0.25091236283096746,0.043669517216944294,0.5217391304347825
15,0.2340632235981074,0.043669517216944294,0.5217391304347825
16,0.2717456961643009,0.043669517216944294,0.391304347826087
17,0.2717456961643009,0.043669517216944294,0.391304347826087
18,0.28563458505318984,0.05469892898165019,0.0
19,0.31341236283096763,0.02139459464209916,0.0
20,0.08619416758951638,0.01835604179826804,0.0
21,0.030344978019396618,0.023718251377520587,0.0
22,0.01004947433518862,0.029400069559338753,0.0869565217391304
23,0.028927145206214974,0.06827898903358853,0.0869565217391304
